depth,light,p_manip
2.1,0,0.0749019825
,0,0.0835535122
,0,0.0840211624
,0.01,0.0828520368
,0.85,0.1076375003
,1.92,0.1635217058
,3.72,0.2229132881
,6.04,0.3814467245
,7.92,0.4653899452
,13.49,0.7424727212
,18.32,0.9119959386
,30.54,1.3045883275
,39.98,2.1447220102
,58.37,2.8476003431
,83.32,2.9348171157
,107.32,3.0047308288
,137.66,3.1487671072
,160.6,3.0061337795
,179.66,2.8798682107
,204.7,2.9268670613
,256.1,2.8017706182
,313.7,2.7327922056
,294.1,
,383.2,2.672932973
,474.5,2.9011462973
,563.9,2.9949101734
,756.5,2.5108921597
,1071.3,2.3755074109
5,0.01,0.0889416448
,0,0.0825435335
,0,0.0832544348
,0,0.0813586981
,0.75,0.1055293405
,1.66,0.1360980941
,3.07,0.1979465025
,4.95,0.4202216253
,8.58,0.5768568665
,11.28,0.5332549234
,19.77,0.7695111042
,24.74,1.0917863356
,37.48,1.5839669649
,60.08,2.0877589811
,82.56,3.1638265003
,108.41,2.4474750115
,134.16,2.7834943337
,152.83,2.7818355642
,161.24,2.5849159191
,178.32,2.9138262288
,204.5,3.28159914
,219.4,2.804347437
,284.3,3.4458173278
,343.3,2.7531625472
,405.2,3.1825468998
,541.7,
,736.7,2.3109819723
,1033.7,2.3609820266
10,0,0.0792206856
,0,0.0796903734
,0.01,0.0782813098
,0.01,0.0825085006
,0.63,0.087675067
,1.44,0.1339393211
,2.52,0.164234188
,5.46,0.3852223257
,6.71,0.3983735857
,9.47,0.5110986719
,12.12,0.6517701857
,20.59,0.9025835024
,33.04,1.446716887
,55.86,1.9523358672
,66.93,2.2515270334
,73.9,2.1270597508
,92.98,
,106.37,2.3914940154
,126.7,2.3626082121
,141.36,2.5765510319
,178.64,2.4318871713
,207.3,2.6784732973
,259.9,2.7522142911
,348.6,2.766070083
,409.8,2.7848575973
,527.1,2.7212148924
,772.3,
,1049,2.2799431489
15,0,0.078545553
,0,0.0801720356
,0,0.0826117594
,0,0.08301838
,0.54,0.0860680348
,0.93,0.0952169991
,1.98,0.1255102366
,2.84,0.1529571296
,4.32,0.1789808503
,5.13,0.2485129792
,8.38,0.352404552
,11.66,0.4105513031
,16.49,0.5734028681
,21.59,0.5833650737
,35.35,1.0458960482
,44.97,1.4832165432
,53.4,1.1776411346
,69.39,1.4551597192
,82.89,1.3793249705
,100.18,1.6487111424
,128.61,1.8550711156
,158.05,1.2748234668
,196.55,1.676564656
,234,1.7975342955
,333.3,1.4840297845
,459.5,1.3089796003
,636.7,1.5991034247
,1005.2,1.4691881312
30,0,0.0818362485
,-0.01,0.0847865682
,0,0.0864724651
,0,0.0871046765
,0.57,0.0942697386
,0.9,0.100170378
,1.98,0.1155541878
,2.84,0.1499043384
,3.81,0.1490613899
,4.71,0.1899443913
,6.94,0.2955236887
,9.56,0.290676735
,14.53,0.3450469121
,19.08,0.5545196099
,29.61,0.8470227332
,42.99,1.2156019571
,55.66,1.2899921606
,70.68,1.463639548
,82.66,0.9802085934
,99.88,1.2988431197
,131.99,1.10707234
,160.48,1.1211917271
,185.65,1.4149592731
,230.7,1.5995649907
,275.9,1.3574280392
,453.7,1.2411011487
,616.6,
,936.2,0.9991749343
50,0,0.0854520534
,-0.01,0.084151853
,-0.01,0.0787343518
,-0.01,
,0.54,0.0811180523
,0.93,0.0906528546
,2.09,0.096937156
,2.91,0.0997542567
,3.6,0.0913029547
,4.58,0.1004043569
,7.06,0.092386455
,10.59,0.1038715577
,14.28,0.1391936659
,18.19,0.1560962699
,23.98,0.1426608668
,37.41,
,51.12,0.1677980726
,69.5,
,83.08,
,91.54,
,107.83,0.1599968708
,147.92,0.1591300706
,191.58,
,234.7,0.1844839765
,271.4,0.1740823741
,312.4,0.1801499755
,422.8,0.1495952684
,640.8,0.1498119684
